创世金融永辉私募基金,1,ST4065,应收账款质押,"144,100,000.00 ",12,5/16/2017,5/16/2018
创世金融智选私募基金,1,SS9626,应收账款质押,"123,600,000.00 ",6,5/19/2017,11/17/2017
创世金融智选私募基金,2,SS9626,应收账款质押,"27,000,000.00 ",6,5/23/2017,11/23/2017
创世金融鑫荣私募基金,1,ST5621,应收账款质押,"135,900,000.00 ",12,5/26/2017,5/25/2018
创世金融嘉华私募基金,1,ST5616,应收账款质押,"122,800,000.00 ",6,6/1/2017,12/1/2017
创世金融盛兴私募基金,1,ST5622,应收账款质押,"148,600,000.00 ",12,6/1/2017,6/1/2018
创世金融智选私募基金,4,SS9626,应收账款质押,"55,100,000.00 ",6,6/6/2017,12/6/2017
创世金融鑫惠私募基金,1,ST7418,应收账款质押,"100,000,000.00 ",6,6/7/2017,12/7/2017
创世金融鑫达私募基金,1,ST6950,应收账款质押,"370,500,000.00 ",12,6/8/2017,6/8/2018
创世金融智选私募基金,5,SS9626,应收账款质押,"50,000,000.00 ",6,6/12/2017,12/12/2017
创世金融致亦私募基金,1,ST8105,应收账款质押,"204,000,000.00 ",6,6/12/2017,12/12/2017
创世金融智选私募基金,3,SS9626,应收账款质押,"9,600,000.00 ",6,6/13/2017,12/13/2017
创世金融创达私募基金,1,ST7764,应收账款质押,"299,700,000.00 ",12,6/13/2017,6/13/2018
创世金融智选私募基金,6,SS9626,应收账款质押,"13,400,000.00 ",6,6/16/2017,12/15/2017
创世金融智选私募基金,7,SS9626,应收账款质押,"95,000,000.00 ",6,6/19/2017,12/19/2017
创世金融利达私募基金,1,ST7763,应收账款质押,"529,700,000.00 ",12,6/19/2017,6/19/2018
创世金融汇成私募基金,1,ST8851,应收账款质押,"323,600,000.00 ",12,6/20/2017,6/20/2018
创世金融汇鑫私募基金,1,ST8849,应收账款质押,"502,600,000.00 ",12,6/27/2017,6/27/2018
创世金融鑫信私募基金,3,SS9690,应收账款质押,"41,100,000.00 ",6,7/4/2017,1/4/2018
创世金融鑫信私募基金,4,SS9690,应收账款质押,"10,000,000.00 ",6,7/4/2017,1/4/2018
创世金融汇利私募基金,1,ST8846,应收账款质押,"373,500,000.00 ",12,7/4/2017,7/4/2018
创世金融同顺私募基金,1,SW0970,应收账款质押,"225,500,000.00 ",12,7/7/2017,7/6/2018
创世金融鑫信私募基金,5,SS9690,应收账款质押,"17,000,000.00 ",6,7/10/2017,1/10/2018
创世金融同达私募基金,1,SW0969,应收账款质押,"219,700,000.00 ",12,7/11/2017,7/11/2018
创世金融同鑫私募基金,1,SW0968,应收账款质押,"70,000,000.00 ",5+1,7/12/2017,12/26/2017
创世金融同赢私募基金,1,SW0971,应收账款质押,"100,000,000.00 ",6,7/13/2017,1/12/2018
创世金融鑫信私募基金,6,SS9690,应收账款质押,"72,100,000.00 ",6,7/14/2017,1/12/2018
创世金融同利私募基金,1,ST8846,应收账款质押,"280,200,000.00 ",12,7/14/2017,7/13/2018
创世金融鑫信私募基金,7,SS9690,应收账款质押,"34,300,000.00 ",6,7/18/2017,1/18/2018
创世金融同创私募基金,1,SW3487,应收账款质押,"90,000,000.00 ",5+1,7/19/2017,12/25/2017
创世金融鑫信私募基金,8,SS9690,应收账款质押,"8,000,000.00 ",6,7/20/2017,1/19/2018
创世金融鑫信私募基金,9,SS9690,应收账款质押,"7,700,000.00 ",6,7/20/2017,1/19/2018
创世金融鑫信私募基金,10,SS9690,应收账款质押,"90,900,000.00 ",6,7/28/2017,1/26/2018
