SCF785,1930_创世消费金融成序9号私募基金,"1,533.64",153.64,153.64,"1,533.64",0.00
SCF796,1931_创世消费金融成序16号私募基金,"68,233.64","6,823.64","6,823.64","68,233.64",0.00
SCE321,1932_创世和赢稳进四号私募投资基金,"507,133.44","10,142.08","10,142.08","4,024,000.00","507,133.44"
SCG243,1933_创世和赢稳进五号私募投资基金,"355,969.97","7,099.04","7,099.04","1,601,500.00","355,969.97"
SCG246,1934_创世和赢稳进六号私募投资基金,"75,839.49","1,471.30","1,471.30",0.00,"75,839.49"
SY9324,1939_创世消费金融成序6号私募基金,"2,606.36",260.36,260.36,"2,606.36",0.00
SCF276,1940_创世金融安趣私募基金,"56,460.40","5,645.12","5,645.12","56,460.40",0.00
SCE207,1941_创世消费金融成序7号私募基金,"2,044.24",204.24,204.24,"2,044.24",0.00
SCE208,1942_创世消费金融成序8号私募基金,"4,523.64",452.64,452.64,"4,523.64",0.00
SCF277,1943_创世金融稳趣私募基金,"162,348.72","16,235.24","16,235.24","162,348.72",0.00
SCF279,1944_创世金融逸趣私募基金,"5,495.16",549.24,549.24,"5,495.16",0.00
SCF787,1945_创世消费金融成序10号私募基金,"7,323.22",733.25,733.25,"7,323.22",0.00
SCF791,1946_创世消费金融成序11号私募基金,"87,343.78","8,732.39","8,732.39","87,343.78","3,770,528.83"
SCF789,1947_创世消费金融成序12号私募基金,"7,411.52",741.52,741.52,"7,411.52",0.00
SCF793,1948_创世消费金融成序14号私募基金,"6,644.24",664.24,664.24,"6,644.24",0.00
SCF795,1949_创世消费金融成序15号私募基金,"204,749.68","20,473.68","20,473.68","204,749.68",0.00
SY6824,1950_创世消费金融华成9号私募基金,"1,533.64",153.64,153.64,"1,533.64",0.00
SCF801,1951_创世消费金融华成10号私募基金,"2,811.52",281.52,281.52,"2,811.52",0.00
SCG054,1952_创世消费金融华成11号私募基金,766.36,76.36,76.36,766.36,0.00
SCG069,1953_创世消费金融华成12号私募基金,766.36,76.36,76.36,766.36,0.00
SCH311,1954_创世狮桥租赁宣明1号1期私募基金,"20,730.16","2,074.35","2,074.35","103,643.72",0.00
SCH362,1955_创世狮桥租赁宣明1号2期私募基金,"23,287.39","2,330.14","2,330.14","116,429.55",0.00
SCH360,1956_创世先锋租赁锋明二号四期私募基金,"32,200.79","3,218.79","3,218.79","128,808.99",0.00
SCH366,1957_创世狮桥租赁宣明2号4期私募基金,"4,890.27",464.83,489.27,"14,669.89",0.00
SCH553,1958_创世金融安定私募基金,0.00,75.44,75.44,0.00,0.00
SCF792,1959_创世消费金融成序13号私募基金,"2,811.52",281.52,281.52,"2,811.52",0.00
SCG649,1960_创世海尔家居海嘉私募基金,"31,995.76","3,199.76","3,199.76","63,991.52",0.00
SCH089,1961_创世先锋租赁九号十二期私募基金,"5,235.23",523.25,523.25,"5,235.23","24,084.06"
SCH305,1962_创世先锋租赁锋明一号二期私募基金,0.00,0.00,0.00,0.00,0.00
SCH306,1963_创世先锋租赁锋明二号一期私募基金,"48,111.80","4,811.30","4,811.30","192,446.60",0.00
SCH307,1964_创世先锋租赁锋明二号二期私募基金,"74,876.60","7,487.60","7,487.60","149,753.50",0.00
SCH309,1965_创世先锋租赁锋明二号三期私募基金,"37,889.06","3,789.06","3,789.06","37,889.06",0.00
SCH310,1966_创世先锋租赁锋明三号一期私募基金,"75,562.54","7,555.54","7,555.54","75,562.54",0.00
SCH312,1967_创世狮桥租赁宣明2号1期私募基金,"7,049.77",705.27,705.27,"21,148.77",0.00
SCH313,1968_创世狮桥租赁宣明3号1期私募基金,"60,874.86","6,094.30","1,427.66","126,417.08",0.00
SCH361,1969_创世先锋租赁锋明二号五期私募基金,"9,691.50",969.00,969.00,"19,383.63",0.00
SCH363,1970_创世狮桥租赁宣明2号2期私募基金,"4,936.77",492.77,492.77,"14,813.07",0.00
SCH364,1971_创世狮桥租赁宣明2号3期私募基金,"8,699.68",869.68,869.68,"26,100.24",0.00
SCL619,1991_创世核心企业集方私募基金,"65,563.87","6,555.61","6,555.61","327,819.01",0.00
SCL620,1992_创世核心企业集圆私募基金,"211,562.26","21,156.31","21,156.31","634,684.01",0.00
